,FirstName,LastName,Gender,Age,MarriageStatus,PhoneNumber,NetYearlyIncome,HighValueIndividual,Email
36,Shanice,Nolan,Female,20.0,Single,(785) 423-0264,941000.0,Yes,shanicenolan@gmail.com
37,Chantelle,Payne,Female,76.0,Married,(424) 304-5939,63000.0,No,chantellepayne@gmail.com
38,Aleena,Evans,Female,61.0,Married,(381) 666-5997,468000.0,Yes,aleenaevans@gmail.com
40,Lennon,Sharp,Female,61.0,Married,(672) 549-8462,584000.0,Yes,lennonsharp@gmail.com
42,Arianna,Mosley,Female,26.0,Single,(701) 608-6760,585000.0,Yes,ariannamosley@gmail.com
43,Juanita,Combs,Female,77.0,Married,(579) 481-0993,877000.0,Yes,juanitacombs@gmail.com
45,Aneesa,Hodge,Female,23.0,Single,(695) 352-8648,206000.0,No,aneesahodge@gmail.com
46,Yasmin,Solomon,Female,55.0,Married,(803) 824-9485,38000.0,No,yasminsolomon@gmail.com
47,Daisie,Munoz,Female,29.0,Single,(966) 688-4835,510000.0,Yes,daisiemunoz@gmail.com
48,Elizabeth,David,Female,25.0,Single,(641) 968-0402,723000.0,Yes,elizabethdavid@gmail.com
49,Zayd,Schaefer,Male,37.0,Married,(348) 492-8623,538000.0,Yes,zaydschaefer@gmail.com
52,Ada,Harding,Female,52.0,Married,(503) 619-4334,539000.0,Yes,adaharding@gmail.com
53,Erica,Vaughn,Male,25.0,Single,(840) 538-5791,536000.0,Yes,ericavaughn@gmail.com
54,Kacie,Nichols,Male,36.0,Married,(919) 277-8103,441000.0,Yes,kacienichols@gmail.com
56,Zahraa,Hood,Female,49.0,Married,(228) 486-2441,641000.0,Yes,zahraahood@gmail.com
59,Brayden,Barr,Male,41.0,Married,(404) 541-4224,806000.0,Yes,braydenbarr@gmail.com
61,Willie,French,Female,70.0,Single,(371) 598-8892,873000.0,Yes,williefrench@gmail.com
62,Louis,Cortez,Male,77.0,Married,(319) 511-4814,186000.0,No,louiscortez@gmail.com
66,Lexi,Leonard,Female,38.0,Married,(591) 773-5129,275000.0,No,lexileonard@gmail.com
67,Jim,Pham,Male,59.0,Married,(373) 365-5459,979000.0,Yes,jimpham@gmail.com
68,Ahmad,Wood,Male,22.0,Single,(523) 689-6132,161000.0,No,ahmadwood@gmail.com
69,Zak,Hickman,Male,48.0,Married,(217) 444-2442,367000.0,Yes,zakhickman@gmail.com
71,Dale,Guerra,Male,78.0,Married,(706) 844-0745,48000.0,No,daleguerra@gmail.com
72,Clyde,Arroyo,Male,22.0,Single,(316) 869-0671,665000.0,Yes,clydearroyo@gmail.com
74,Jazmine,Ali,Female,76.0,Married,(773) 394-5356,225000.0,No,jazmineali@gmail.com
76,Isobella,Poole,Female,41.0,Married,(448) 390-3990,119000.0,No,isobellapoole@gmail.com
78,Dalton,Mitchell,Male,44.0,Married,(735) 962-2244,157000.0,No,daltonmitchell@gmail.com
79,Sylvie,Hoover,Female,41.0,Married,(887) 806-9452,969000.0,Yes,sylviehoover@gmail.com
80,Chester,Chandler,Male,31.0,Single,(393) 493-2882,991000.0,Yes,chesterchandler@gmail.com
81,Ruth,Mullins,Female,41.0,Married,(819) 792-8587,206000.0,No,ruthmullins@gmail.com
85,Annalise,Freeman,Female,43.0,Married,(416) 888-8194,148000.0,No,annalisefreeman@gmail.com
86,Kelsey,Mcleod,Female,71.0,Married,(263) 407-0811,361000.0,Yes,kelseymcleod@gmail.com
87,Isobelle,Foley,Female,23.0,Single,(419) 696-3155,791000.0,Yes,isobellefoley@gmail.com
88,Findlay,Gordon,Male,35.0,Single,(410) 694-0839,979000.0,Yes,findlaygordon@gmail.com
91,Sufyan,Wyatt,Male,75.0,Married,(437) 592-7260,233000.0,No,sufyanwyatt@gmail.com
92,Ariana,Carr,Female,25.0,Single,(692) 397-3719,830000.0,Yes,arianacarr@gmail.com
94,Gianluca,O'Quinn,Male,27.0,Single,(319) 442-7442,266000.0,No,gianlucaoquinn@gmail.com
96,Rupert,Aguirre,Male,48.0,Married,(701) 259-8239,334000.0,Yes,rupertaguirre@gmail.com
98,Bobby,Marshall,Female,76.0,Married,(795) 324-7525,424000.0,Yes,bobbymarshall@gmail.com
99,Mathew,Mcmahon,Male,23.0,Single,(780) 841-4452,405000.0,Yes,mathewmcmahon@gmail.com
100,Joanna,Shepherd,Female,58.0,Married,(277) 851-8223,972000.0,Yes,joannashepherd@gmail.com
101,Elliot,Richard,Female,61.0,Married,(409) 625-8183,327000.0,Yes,elliotrichard@gmail.com
102,Sufyaan,Whitney,Male,56.0,Married,(718) 313-1815,825000.0,Yes,sufyaanwhitney@gmail.com
104,Celia,Matthams,Female,23.0,Single,(937) 625-4308,501000.0,Yes,celiamatthams@gmail.com
105,Kaya,Carrillo,Male,31.0,Single,(314) 431-7751,252000.0,No,kayacarrillo@gmail.com
106,Cormac,Moyer,Male,40.0,Married,(609) 350-3771,78000.0,No,cormacmoyer@gmail.com
108,Evelyn,Brandt,Female,58.0,Married,(930) 546-6988,470000.0,Yes,evelynbrandt@gmail.com
109,Ammar,Dunlap,Male,66.0,Married,(271) 705-7576,474000.0,Yes,ammardunlap@gmail.com
